age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
40,M,400,En Couple,1,false,7982 PU 33
42,M,525,En Couple,1,false,7501 DZ 26
28,M,1066,C�libataire,0,false,6461 JH 46
44,F,237,C�libataire,0,false,8430 FZ 18
75,M,563,C�libataire,0,false,4429 QQ 61
56,M,840,En Couple,0,false,3509 CA 60
28,M,414,En Couple,2,false,5010 JT 73
42,M,209,C�libataire,0,false,6353 BI 12
59,M,775,En Couple,1,false,8452 QA 32
43,M,438,C�libataire,0,false,6369 FT 49
53,M,1056,En Couple,0,false,378 QN 86
37,M,1206,En Couple,2,true,3271 YD 50
58,M,150,C�libataire,0,false,79 XA 39
80,M,221,En Couple,0,false,1574 EU 28
32,M,173,En Couple,2,false,8768 QS 95
56,M,466,C�libataire,0,false,548 HQ 47
48,M,973,Seule,1,false,2940 CE 72
18,F,1175,En Couple,3,true,5816 HM 54
59,M,1064,En Couple,0,false,5250 ZW 33
18,F,427,En Couple,3,false,9804 EI 73
32,M,463,C�libataire,0,false,1285 NW 69
39,F,167,En Couple,0,false,7435 GS 44
56,F,176,En Couple,3,false,4715 JW 22
53,F,1027,En Couple,0,true,6740 TG 66
28,F,530,C�libataire,0,false,3977 CD 89
54,Femme,228,C�libataire,0,false,1845 IC 25
28,M,1105,C�libataire,0,false,424 TF 25
49,M,151,C�libataire,0,false,5936 YH 25
48,M,791,En Couple,2,false,2387 IJ 76
25,M,469,En Couple,2,false,9384 ZJ 98
45,M,408,En Couple,3,true,534 WM 10
55,M,445,En Couple,3,false,5508 SV 63
66,M,153,En Couple,1,false,2928 IQ 42
84,F,576,En Couple,3,false,3163 KZ 59
74,F,482,Seule,1,false,8081 SJ 17
45,M,577,C�libataire,0,false,7590 IA 55
48,M,1157,En Couple,1,false,1100 TG 62
35,M,203,En Couple,2,true,8738 ME 47
24,F,423,En Couple,1,false,6646 FX 41
57,M,1318,Seule,1,false,5594 QW 46
21,M,446,En Couple,3,false,3364 YX 26
27,M,427,En Couple,2,true,7840 KR 30
49,M,426,En Couple,4,false,4401 HS 91
59,M,949,C�libataire,0,false,7556 QH 70
53,F,231,En Couple,0,false,21 DY 48
23,F,538,C�libataire,0,false,9835 ND 54
44,M,562,En Couple,0,false,6942 TF 75
60,M,567,En Couple,4,false,5769 OI 36
43,M,553,En Couple,1,false,8042 XU 44
26,M,438,En Couple,1,false,3047 TQ 46
73,M,584,En Couple,2,false,730 HC 84
26,M,525,C�libataire,0,false,9357 FC 43
74,M,541,En Couple,0,false,7233 CA 97
72,M,455,En Couple,2,false,520 GL 50
56,M,1350,C�libataire,0,false,7603 FM 12
27,F,1201,En Couple,2,false,8869 JH 49
45,F,547,C�libataire,0,false,9414 YH 33
55,M,154,En Couple,0,false,1603 BE 69
28,M,515,C�libataire,0,false,1987 RR 67
28,F,496,Seule,2,false,9733 QT 89
73,M,493,En Couple,3,false,5013 HL 89
80,M,500,En Couple,0,false,6557 VJ 80
27,F,1264,En Couple,0,true,4184 JS 27
36,F,204,En Couple,2,false,6290 DZ 32
39,M,428,En Couple,1,false,1163 FD 35
27,M,561,En Couple,2,false,1738 WD 70
38,M,995,En Couple,2,false,462 WL 34
53,M,1260,Seule,3,false,9664 NG 21
51,Femme,178,C�libataire,0,false,8580 AS 27
25,F,528,En Couple,1,false,3006 YB 98
74,M,462,C�libataire,0,false,9490 FA 46
41,M,520,En Couple,1,false,3828 DZ 67
19,M,1091,En Couple,2,true,445 QD 43
34,M,892,En Couple,2,false,4463 RU 63
44,Femme,174,En Couple,0,false,6048 BB 44
72,M,750,C�libataire,0,false,6834 NH 55
31,F,523,C�libataire,0,false,2947 DD 40
52,M,516,En Couple,2,false,9536 HA 37
32,F,460,C�libataire,0,false,7828 KR 89
54,M,492,Seule,1,false,3390 DY 96
37,M,739,En Couple,3,false,8449 EU 86
66,F,456,En Couple,0,false,6870 BO 56
33,M,444,En Couple,2,false,1740 MM 75
81,M,1356,En Couple,0,false,2047 NS 95
 ,M,1179,C�libataire,0,false,4277 VS 97
20,F,409,C�libataire,0,false,2565 PF 27
32,M,1073,En Couple,4,true,995 ZQ 79
34,M,208,C�libataire,0,false,1462 VP 89
57,M,455,En Couple,0,false,3547 FS 25
44,M,199,En Couple,2,false,5874 KH 35
81,M,422,En Couple,0,false,4742 BO 98
56,F,1145,En Couple,4,false,9787 RW 40
62,M,745,En Couple,3,false,4879 CG 90
58,M,425,En Couple,1,false,8770 WO 60
33,M,484,En Couple,1,true,3474 AD 16
51,M,418,C�libataire,0,false,9919 IN 53
44,M,203,C�libataire,0,false,5342 NZ 37
55,M,927,En Couple,0,false,5049 MW 77
80,F,220,C�libataire,0,false,2851 JS 56
26,M,541,En Couple,4,false,1914 LB 54
50,Masculin,893,En Couple,1,true,5 DA 92
42,F,1378,C�libataire,0,false,2588 BO 47
75,M,561,En Couple,0,false,4646 PW 33
35,M,1184,C�libataire,0,false,765 ZC 36
58,M,430,En Couple,4,false,8735 ZZ 83
47,M,499,En Couple,0,false,142 QV 69
40,M,450,En Couple,0,false,4551 XR 44
56,M,922,En Couple,1,true,1728 AN 50
38,M,582,En Couple,3,false,41 VG 71
29,M,454,C�libataire,0,false,8725 XK 18
20,Masculin,920,En Couple,0,false,9395 YV 42
27,M,528,C�libataire,0,false,9572 XR 55
45,F,229,En Couple,2,false,4289 YU 76
30,M,209,En Couple,1,false,4981 TT 57
49,M,795,Seule,2,false,8981 JS 35
34,M,1209,En Couple,2,false,353 VN 28
65,M,1053,En Couple,1,false,3570 OX 48
30,F,248,C�libataire,0,false,5155 OJ 36
54,M,799,C�libataire,0,false,316 MA 20
24,F,216,C�libataire,0,false,2969 EB 96
55,M,192,C�libataire,0,false,3081 AT 10
28,F,421,En Couple,4,true,3234 QX 57
64,M,411,C�libataire,0,false,9618 FL 57
26,M,861,En Couple,0,false,1729 WE 27
37,M,150,En Couple,0,false,2290 UK 19
19,M,555,En Couple,1,false,3688 VO 62
76,M,187,En Couple,0,false,3605 OQ 75
19,F,406,C�libataire,0,false,1054 WS 52
59,F,458,En Couple,1,false,5274 PX 46
26,M,438,En Couple,2,false,6089 NY 16
28,M,489,En Couple,2,false,5121 PA 86
