situationFamiliale,age,sexe,taux,nbEnfantsAcharge,puissance,nbPlaces,nbPortes
En Couple,40,1,400,1,147,5,5
En Couple,42,1,525,1,170,5,5
Célibataire,28,1,1066,1,75,5,5
Célibataire,44,1,237,1,65,5,5
Célibataire,75,1,563,1,75,5,5
En Couple,56,1,840,1,197,5,5
En Couple,28,1,414,1,197,5,5
Célibataire,42,1,209,1,75,5,5
En Couple,59,1,775,1,197,5,5
Célibataire,43,1,438,1,150,5,5
En Couple,53,1,1056,1,197,5,5
En Couple,37,1,1206,1,75,5,5
Célibataire,58,1,150,1,135,5,5
En Couple,80,1,221,1,193,5,5
En Couple,32,1,173,1,147,5,5
Célibataire,56,1,466,1,150,5,5
Seule,48,1,973,1,507,5,5
En Couple,18,1,1175,1,507,5,5
En Couple,59,1,1064,1,197,5,5
En Couple,18,1,427,1,245,5,5
Célibataire,32,1,463,1,150,5,5
En Couple,39,1,167,1,125,5,5
En Couple,56,1,176,1,200,5,5
En Couple,53,1,1027,1,75,5,5
Célibataire,28,1,530,1,90,5,3
Célibataire,54,1,228,1,58,5,3
Célibataire,28,1,1105,1,75,5,5
Célibataire,49,1,151,1,65,5,5
En Couple,48,1,791,1,197,5,5
En Couple,25,1,469,1,147,5,5
En Couple,45,1,408,1,272,5,5
En Couple,55,1,445,1,272,5,5
En Couple,66,1,153,1,147,5,5
En Couple,84,1,576,1,306,5,5
Seule,74,1,482,1,150,5,5
Célibataire,45,1,577,1,135,5,5
En Couple,48,1,1157,1,197,5,5
En Couple,35,1,203,1,65,5,5
En Couple,24,1,423,1,197,5,5
Seule,57,1,1318,1,197,5,5
En Couple,21,1,446,1,272,5,5
En Couple,27,1,427,1,75,5,5
En Couple,49,1,426,1,272,5,5
Célibataire,59,1,949,1,75,5,5
En Couple,53,1,231,1,102,5,5
Célibataire,23,1,538,1,150,5,5
En Couple,44,1,562,1,125,5,5
En Couple,60,1,567,1,507,5,5
En Couple,43,1,553,1,507,5,5
En Couple,26,1,438,1,197,5,5
En Couple,73,1,584,1,150,5,5
Célibataire,26,1,525,1,135,5,5
En Couple,74,1,541,1,306,5,5
En Couple,72,1,455,1,150,5,5
Célibataire,56,1,1350,1,75,5,5
En Couple,27,1,1201,1,197,5,5
Célibataire,45,1,547,1,135,5,5
En Couple,55,1,154,1,200,5,5
Célibataire,28,1,515,1,75,5,5
Seule,28,1,496,1,507,5,5
En Couple,73,1,493,1,306,5,5
En Couple,80,1,500,1,306,5,5
En Couple,27,1,1264,1,75,5,5
En Couple,36,1,204,1,272,5,5
En Couple,39,1,428,1,507,5,5
En Couple,27,1,561,1,170,5,5
En Couple,38,1,995,1,197,5,5
Seule,53,1,1260,1,507,5,5
Célibataire,51,1,178,1,55,5,3
En Couple,25,1,528,1,197,5,5
Célibataire,74,1,462,1,75,5,5
En Couple,41,1,520,1,272,5,5
En Couple,19,1,1091,1,75,5,5
En Couple,34,1,892,1,197,5,5
En Couple,44,1,174,1,170,5,5
Célibataire,72,1,750,1,136,5,5
Célibataire,31,1,523,1,55,5,3
En Couple,52,1,516,1,197,5,5
Célibataire,32,1,460,1,135,5,5
Seule,54,1,492,1,170,5,5
En Couple,37,1,739,1,507,5,5
En Couple,66,1,456,1,150,5,5
En Couple,33,1,444,1,245,5,5
En Couple,81,1,1356,1,150,5,5
Célibataire,1,1,1179,1,75,5,5
Célibataire,20,1,409,1,135,5,5
En Couple,32,1,1073,1,507,5,5
Célibataire,34,1,208,1,135,5,5
En Couple,57,1,455,1,147,5,5
En Couple,44,1,199,1,272,5,5
En Couple,81,1,422,1,150,5,5
En Couple,56,1,1145,1,507,5,5
En Couple,62,1,745,1,306,5,5
En Couple,58,1,425,1,197,5,5
En Couple,33,1,484,1,75,5,5
Célibataire,51,1,418,1,135,5,5
Célibataire,44,1,203,1,75,5,5
En Couple,55,1,927,1,507,5,5
Célibataire,80,1,220,1,75,5,5
En Couple,26,1,541,1,245,5,5
En Couple,50,1,893,1,75,5,5
Célibataire,42,1,1378,1,150,5,5
En Couple,75,1,561,1,150,5,5
Célibataire,35,1,1184,1,75,5,5
En Couple,58,1,430,1,245,5,5
En Couple,47,1,499,1,245,5,5
En Couple,40,1,450,1,125,5,5
En Couple,56,1,922,1,75,5,5
En Couple,38,1,582,1,245,5,5
Célibataire,29,1,454,1,75,5,5
En Couple,20,1,920,1,507,5,5
Célibataire,27,1,528,1,150,5,5
En Couple,45,1,229,1,109,5,5
En Couple,30,1,209,1,200,5,5
Seule,49,1,795,1,507,5,5
En Couple,34,1,1209,1,197,5,5
En Couple,65,1,1053,1,306,5,5
Célibataire,30,1,248,1,135,5,5
Célibataire,54,1,799,1,75,5,5
Célibataire,24,1,216,1,90,5,5
Célibataire,55,1,192,1,55,5,3
En Couple,28,1,421,1,245,5,5
Célibataire,64,1,411,1,75,5,5
En Couple,26,1,861,1,507,5,5
En Couple,37,1,150,1,200,5,5
En Couple,19,1,555,1,507,5,5
En Couple,76,1,187,1,102,5,5
Célibataire,19,1,406,1,55,5,3
En Couple,59,1,458,1,507,5,5
En Couple,26,1,438,1,197,5,5
En Couple,28,1,489,1,197,5,5
En Couple,55,1,519,1,125,5,5
En Couple,19,1,1111,1,197,5,5
En Couple,25,1,959,1,197,5,5
En Couple,61,1,236,1,109,5,5
Célibataire,43,1,1058,1,75,5,5
Célibataire,33,1,220,1,75,5,5
Seule,36,1,221,1,193,5,5
Célibataire,39,1,568,1,75,5,5
En Couple,55,1,480,1,147,5,5
En Couple,51,1,792,1,507,5,5
En Couple,22,1,176,1,55,5,3
En Couple,73,1,761,1,150,5,5
En Couple,35,1,700,1,197,5,5
En Couple,25,1,164,1,245,5,5
Célibataire,24,1,910,1,75,5,5
En Couple,22,1,150,1,125,5,5
En Couple,29,1,597,1,507,5,5
En Couple,72,1,150,1,147,5,5
Célibataire,29,1,1353,1,75,5,5
Célibataire,73,1,439,1,75,5,5
En Couple,20,1,1221,1,507,5,5
En Couple,23,1,519,1,245,5,5
Célibataire,44,1,428,1,75,5,5
En Couple,51,1,191,1,147,5,5
Célibataire,35,1,595,1,75,5,5
Célibataire,23,1,443,1,150,5,5
Célibataire,80,1,476,1,136,5,5
Célibataire,82,1,956,1,75,5,5
Seule,53,1,961,1,507,5,5
En Couple,37,1,430,1,147,5,5
En Couple,60,1,908,1,507,5,5
En Couple,1,1,426,1,125,5,5
Célibataire,56,1,185,1,115,5,5
Célibataire,71,1,560,1,136,5,5
En Couple,32,1,1331,1,507,5,5
En Couple,51,1,217,1,55,5,3
En Couple,45,1,412,1,507,5,5
En Couple,76,1,477,1,306,5,5
En Couple,45,1,511,1,170,5,5
En Couple,52,1,590,1,272,5,5
En Couple,75,1,747,1,75,5,5
En Couple,22,1,1146,1,75,5,5
En Couple,45,1,220,1,193,5,5
En Couple,51,1,533,1,147,5,5
Célibataire,50,1,525,1,55,5,3
En Couple,21,1,537,1,75,5,5
Célibataire,22,1,234,1,90,5,5
En Couple,57,1,1211,1,507,5,5
En Couple,74,1,461,1,306,5,5
En Couple,58,1,467,1,272,5,5
Célibataire,77,1,442,1,136,5,5
En Couple,18,1,163,1,170,5,5
En Couple,57,1,1077,1,197,5,5
Célibataire,43,1,223,1,75,5,5
En Couple,34,1,527,1,507,5,5
Célibataire,19,1,1215,1,75,5,5
Célibataire,44,1,196,1,75,5,5
Seule,41,1,411,1,170,5,5
Seule,33,1,496,1,170,5,5
Célibataire,37,1,1,1,75,5,5
En Couple,41,1,1093,1,507,5,5
En Couple,49,1,204,1,193,5,5
Célibataire,19,1,166,1,135,5,5
Seule,26,1,510,1,125,5,5
Célibataire,25,1,534,1,135,5,5
En Couple,26,1,167,1,75,5,5
Célibataire,46,1,504,1,75,5,5
En Couple,48,1,536,1,197,5,5
Célibataire,57,1,452,1,150,5,5
En Couple,61,1,519,1,306,5,5
Célibataire,48,1,718,1,75,5,5
Célibataire,30,1,1148,1,75,5,5
En Couple,35,1,732,1,507,5,5
En Couple,28,1,400,1,75,5,5
Célibataire,26,1,536,1,150,5,5
En Couple,56,1,170,1,58,5,3
En Couple,21,1,218,1,200,5,5
En Couple,19,1,596,1,197,5,5
Célibataire,78,1,891,1,75,5,5
En Couple,39,1,1078,1,507,5,5
En Couple,28,1,580,1,507,5,5
En Couple,50,1,585,1,75,5,5
Célibataire,23,1,582,1,150,5,5
Célibataire,77,1,713,1,75,5,5
Célibataire,22,1,182,1,75,5,5
Célibataire,53,1,208,1,135,5,5
En Couple,58,1,507,1,272,5,5
Célibataire,29,1,877,1,75,5,5
Célibataire,19,1,549,1,75,5,5
Célibataire,40,1,247,1,150,5,5
En Couple,20,1,499,1,147,5,5
Célibataire,58,1,479,1,55,5,3
Célibataire,26,1,585,1,55,5,3
En Couple,51,1,1315,1,197,5,5
En Couple,21,1,544,1,245,5,5
En Couple,48,1,530,1,272,5,5
En Couple,28,1,599,1,197,5,5
En Couple,78,1,726,1,306,5,5
En Couple,28,1,490,1,197,5,5
En Couple,57,1,990,1,507,5,5
En Couple,29,1,1057,1,197,5,5
Seule,76,1,1293,1,150,5,5
En Couple,27,1,1384,1,75,5,5
En Couple,23,1,461,1,147,5,5
En Couple,26,1,1,1,507,5,5
En Couple,42,1,1043,1,197,5,5
Célibataire,70,1,476,1,75,5,5
En Couple,46,1,727,1,507,5,5
En Couple,31,1,448,1,507,5,5
En Couple,33,1,598,1,75,5,5
Célibataire,49,1,539,1,55,5,3
En Couple,25,1,193,1,200,5,5
En Couple,37,1,1300,1,197,5,5
Célibataire,60,1,249,1,115,5,5
Célibataire,48,1,516,1,135,5,5
En Couple,52,1,515,1,507,5,5
En Couple,51,1,185,1,272,5,5
En Couple,50,1,461,1,170,5,5
Célibataire,30,1,724,1,150,5,5
En Couple,25,1,778,1,75,5,5
Célibataire,71,1,161,1,115,5,5
Seule,22,1,172,1,193,5,5
En Couple,58,1,485,1,507,5,5
En Couple,76,1,599,1,150,5,5
Célibataire,23,1,575,1,135,5,5
En Couple,47,1,425,1,55,5,3
Célibataire,29,1,220,1,90,5,5
En Couple,76,1,1077,1,150,5,5
En Couple,68,1,1067,1,306,5,5
Célibataire,49,1,572,1,55,5,3
Célibataire,28,1,0,1,75,5,5
Célibataire,36,1,196,1,90,5,5
En Couple,80,1,505,1,306,5,5
En Couple,55,1,511,1,147,5,5
En Couple,55,1,213,1,200,5,5
Célibataire,30,1,1180,1,75,5,5
Célibataire,75,1,519,1,90,5,3
En Couple,47,1,598,1,245,5,5
En Couple,23,1,581,1,272,5,5
En Couple,22,1,1050,1,197,5,5
En Couple,27,1,536,1,125,5,5
En Couple,42,1,592,1,147,5,5
