age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation,immatriculation,marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix
40,M,400,En Couple,1,false,7982 PU 33,7982 PU 33,Fiat,Croma 2.2,147,longue,5,5,bleu,false,24780
42,M,525,En Couple,1,false,7501 DZ 26,7501 DZ 26,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
28,M,1066,C�libataire,0,false,6461 JH 46,6461 JH 46,Audi,A2 1.4,75,courte,5,5,noir,false,18310
44,F,237,C�libataire,0,false,8430 FZ 18,8430 FZ 18,Kia,Picanto 1.1,65,courte,5,5,noir,false,8990
75,M,563,C�libataire,0,false,4429 QQ 61,4429 QQ 61,Peugeot,1007 1.4,75,courte,5,5,noir,false,13750
56,M,840,En Couple,0,false,3509 CA 60,3509 CA 60,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
28,M,414,En Couple,2,false,5010 JT 73,5010 JT 73,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970
42,M,209,C�libataire,0,false,6353 BI 12,6353 BI 12,Peugeot,1007 1.4,75,courte,5,5,bleu,true,9625
59,M,775,En Couple,1,false,8452 QA 32,8452 QA 32,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
43,M,438,C�libataire,0,false,6369 FT 49,6369 FT 49,BMW,120i,150,moyenne,5,5,blanc,true,25060
53,M,1056,En Couple,0,false,378 QN 86,378 QN 86,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
37,M,1206,En Couple,2,true,3271 YD 50,3271 YD 50,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
58,M,150,C�libataire,0,false,79 XA 39,79 XA 39,Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,true,15644
80,M,221,En Couple,0,false,1574 EU 28,1574 EU 28,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,gris,false,31790
32,M,173,En Couple,2,false,8768 QS 95,8768 QS 95,Fiat,Croma 2.2,147,longue,5,5,noir,true,17346
56,M,466,C�libataire,0,false,548 HQ 47,548 HQ 47,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,false,22900
48,M,973,Seule,1,false,2940 CE 72,2940 CE 72,BMW,M5,507,tr�s longue,5,5,rouge,false,94800
18,F,1175,En Couple,3,true,5816 HM 54,5816 HM 54,BMW,M5,507,tr�s longue,5,5,noir,false,94800
59,M,1064,En Couple,0,false,5250 ZW 33,5250 ZW 33,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
18,F,427,En Couple,3,false,9804 EI 73,9804 EI 73,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,false,49200
32,M,463,C�libataire,0,false,1285 NW 69,1285 NW 69,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,false,22900
39,F,167,En Couple,0,false,7435 GS 44,7435 GS 44,Ford,Mondeo 1.8,125,longue,5,5,blanc,true,16730
56,F,176,En Couple,3,false,4715 JW 22,4715 JW 22,Nissan,Maxima 3.0 V6,200,tr�s longue,5,5,rouge,false,30000
53,F,1027,En Couple,0,true,6740 TG 66,6740 TG 66,Audi,A2 1.4,75,courte,5,5,gris,false,18310
28,F,530,C�libataire,0,false,3977 CD 89,3977 CD 89,Lancia,Ypsilon 1.4 16V,90,courte,5,3,noir,false,13500
54,Femme,228,C�libataire,0,false,1845 IC 25,1845 IC 25,Daihatsu,Cuore 1.0,58,courte,5,3,gris,false,8850
28,M,1105,C�libataire,0,false,424 TF 25,424 TF 25,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
49,M,151,C�libataire,0,false,5936 YH 25,5936 YH 25,Kia,Picanto 1.1,65,courte,5,5,gris,false,8990
48,M,791,En Couple,2,false,2387 IJ 76,2387 IJ 76,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
25,M,469,En Couple,2,false,9384 ZJ 98,9384 ZJ 98,Fiat,Croma 2.2,147,longue,5,5,gris,false,24780
45,M,408,En Couple,3,true,534 WM 10,534 WM 10,Volvo,S80 T6,272,tr�s longue,5,5,noir,false,50500
55,M,445,En Couple,3,false,5508 SV 63,5508 SV 63,Volvo,S80 T6,272,tr�s longue,5,5,noir,false,50500
66,M,153,En Couple,1,false,2928 IQ 42,2928 IQ 42,Fiat,Croma 2.2,147,longue,5,5,blanc,true,17346
84,F,576,En Couple,3,false,3163 KZ 59,3163 KZ 59,Mercedes,S500,306,tr�s longue,5,5,bleu,true,70910
74,F,482,Seule,1,false,8081 SJ 17,8081 SJ 17,Saab,9.3 1.8T,150,longue,5,5,rouge,true,27020
45,M,577,C�libataire,0,false,7590 IA 55,7590 IA 55,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350
48,M,1157,En Couple,1,false,1100 TG 62,1100 TG 62,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
35,M,203,En Couple,2,true,8738 ME 47,8738 ME 47,Kia,Picanto 1.1,65,courte,5,5,blanc,false,8990
24,F,423,En Couple,1,false,6646 FX 41,6646 FX 41,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970
57,M,1318,Seule,1,false,5594 QW 46,5594 QW 46,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
21,M,446,En Couple,3,false,3364 YX 26,3364 YX 26,Volvo,S80 T6,272,tr�s longue,5,5,blanc,false,50500
27,M,427,En Couple,2,true,7840 KR 30,7840 KR 30,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
49,M,426,En Couple,4,false,4401 HS 91,4401 HS 91,Volvo,S80 T6,272,tr�s longue,5,5,rouge,false,50500
59,M,949,C�libataire,0,false,7556 QH 70,7556 QH 70,Audi,A2 1.4,75,courte,5,5,gris,false,18310
53,F,231,En Couple,0,false,21 DY 48,21 DY 48,Seat,Toledo 1.6,102,longue,5,5,rouge,false,18880
23,F,538,C�libataire,0,false,9835 ND 54,9835 ND 54,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,false,22900
44,M,562,En Couple,0,false,6942 TF 75,6942 TF 75,Ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900
60,M,567,En Couple,4,false,5769 OI 36,5769 OI 36,BMW,M5,507,tr�s longue,5,5,bleu,true,66360
43,M,553,En Couple,1,false,8042 XU 44,8042 XU 44,BMW,M5,507,tr�s longue,5,5,bleu,true,66360
26,M,438,En Couple,1,false,3047 TQ 46,3047 TQ 46,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
73,M,584,En Couple,2,false,730 HC 84,730 HC 84,Saab,9.3 1.8T,150,longue,5,5,rouge,true,27020
26,M,525,C�libataire,0,false,9357 FC 43,9357 FC 43,Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,false,22350
74,M,541,En Couple,0,false,7233 CA 97,7233 CA 97,Mercedes,S500,306,tr�s longue,5,5,bleu,true,70910
72,M,455,En Couple,2,false,520 GL 50,520 GL 50,Saab,9.3 1.8T,150,longue,5,5,rouge,true,27020
56,M,1350,C�libataire,0,false,7603 FM 12,7603 FM 12,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
27,F,1201,En Couple,2,false,8869 JH 49,8869 JH 49,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
45,F,547,C�libataire,0,false,9414 YH 33,9414 YH 33,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350
55,M,154,En Couple,0,false,1603 BE 69,1603 BE 69,Nissan,Maxima 3.0 V6,200,tr�s longue,5,5,bleu,false,30000
28,M,515,C�libataire,0,false,1987 RR 67,1987 RR 67,Audi,A2 1.4,75,courte,5,5,rouge,true,12817
28,F,496,Seule,2,false,9733 QT 89,9733 QT 89,BMW,M5,507,tr�s longue,5,5,noir,true,66360
73,M,493,En Couple,3,false,5013 HL 89,5013 HL 89,Mercedes,S500,306,tr�s longue,5,5,blanc,true,70910
80,M,500,En Couple,0,false,6557 VJ 80,6557 VJ 80,Mercedes,S500,306,tr�s longue,5,5,gris,true,70910
27,F,1264,En Couple,0,true,4184 JS 27,4184 JS 27,Audi,A2 1.4,75,courte,5,5,gris,false,18310
36,F,204,En Couple,2,false,6290 DZ 32,6290 DZ 32,Volvo,S80 T6,272,tr�s longue,5,5,gris,true,35350
39,M,428,En Couple,1,false,1163 FD 35,1163 FD 35,BMW,M5,507,tr�s longue,5,5,gris,true,66360
27,M,561,En Couple,2,false,1738 WD 70,1738 WD 70,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
38,M,995,En Couple,2,false,462 WL 34,462 WL 34,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
53,M,1260,Seule,3,false,9664 NG 21,9664 NG 21,BMW,M5,507,tr�s longue,5,5,noir,false,94800
51,Femme,178,C�libataire,0,false,8580 AS 27,8580 AS 27,Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,true,8540
25,F,528,En Couple,1,false,3006 YB 98,3006 YB 98,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970
74,M,462,C�libataire,0,false,9490 FA 46,9490 FA 46,Peugeot,1007 1.4,75,courte,5,5,gris,false,13750
41,M,520,En Couple,1,false,3828 DZ 67,3828 DZ 67,Volvo,S80 T6,272,tr�s longue,5,5,noir,false,50500
19,M,1091,En Couple,2,true,445 QD 43,445 QD 43,Audi,A2 1.4,75,courte,5,5,noir,false,18310
34,M,892,En Couple,2,false,4463 RU 63,4463 RU 63,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
44,Femme,174,En Couple,0,false,6048 BB 44,6048 BB 44,Renault,Laguna 2.0T,170,longue,5,5,bleu,true,19110
72,M,750,C�libataire,0,false,6834 NH 55,6834 NH 55,Mercedes,A200,136,moyenne,5,5,bleu,false,25900
31,F,523,C�libataire,0,false,2947 DD 40,2947 DD 40,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
52,M,516,En Couple,2,false,9536 HA 37,9536 HA 37,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970
32,F,460,C�libataire,0,false,7828 KR 89,7828 KR 89,Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,false,22350
54,M,492,Seule,1,false,3390 DY 96,3390 DY 96,Renault,Laguna 2.0T,170,longue,5,5,noir,false,27300
37,M,739,En Couple,3,false,8449 EU 86,8449 EU 86,BMW,M5,507,tr�s longue,5,5,bleu,false,94800
66,F,456,En Couple,0,false,6870 BO 56,6870 BO 56,Saab,9.3 1.8T,150,longue,5,5,noir,true,27020
33,M,444,En Couple,2,false,1740 MM 75,1740 MM 75,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,noir,false,49200
81,M,1356,En Couple,0,false,2047 NS 95,2047 NS 95,Saab,9.3 1.8T,150,longue,5,5,rouge,false,38600
 ,M,1179,C�libataire,0,false,4277 VS 97,4277 VS 97,Audi,A2 1.4,75,courte,5,5,noir,false,18310
20,F,409,C�libataire,0,false,2565 PF 27,2565 PF 27,Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,false,22350
32,M,1073,En Couple,4,true,995 ZQ 79,995 ZQ 79,BMW,M5,507,tr�s longue,5,5,noir,false,94800
34,M,208,C�libataire,0,false,1462 VP 89,1462 VP 89,Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,true,15644
57,M,455,En Couple,0,false,3547 FS 25,3547 FS 25,Fiat,Croma 2.2,147,longue,5,5,bleu,false,24780
44,M,199,En Couple,2,false,5874 KH 35,5874 KH 35,Volvo,S80 T6,272,tr�s longue,5,5,bleu,true,35350
81,M,422,En Couple,0,false,4742 BO 98,4742 BO 98,Saab,9.3 1.8T,150,longue,5,5,noir,true,27020
56,F,1145,En Couple,4,false,9787 RW 40,9787 RW 40,BMW,M5,507,tr�s longue,5,5,rouge,false,94800
62,M,745,En Couple,3,false,4879 CG 90,4879 CG 90,Mercedes,S500,306,tr�s longue,5,5,bleu,false,101300
58,M,425,En Couple,1,false,8770 WO 60,8770 WO 60,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970
33,M,484,En Couple,1,true,3474 AD 16,3474 AD 16,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
51,M,418,C�libataire,0,false,9919 IN 53,9919 IN 53,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350
44,M,203,C�libataire,0,false,5342 NZ 37,5342 NZ 37,Peugeot,1007 1.4,75,courte,5,5,noir,true,9625
55,M,927,En Couple,0,false,5049 MW 77,5049 MW 77,BMW,M5,507,tr�s longue,5,5,gris,false,94800
80,F,220,C�libataire,0,false,2851 JS 56,2851 JS 56,Peugeot,1007 1.4,75,courte,5,5,noir,true,9625
26,M,541,En Couple,4,false,1914 LB 54,1914 LB 54,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,noir,false,49200
50,Masculin,893,En Couple,1,true,5 DA 92,5 DA 92,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
42,F,1378,C�libataire,0,false,2588 BO 47,2588 BO 47,Audi,A3 2.0 FSI,150,moyenne,5,5,gris,false,28500
75,M,561,En Couple,0,false,4646 PW 33,4646 PW 33,Saab,9.3 1.8T,150,longue,5,5,rouge,true,27020
35,M,1184,C�libataire,0,false,765 ZC 36,765 ZC 36,Audi,A2 1.4,75,courte,5,5,noir,false,18310
58,M,430,En Couple,4,false,8735 ZZ 83,8735 ZZ 83,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,rouge,false,49200
47,M,499,En Couple,0,false,142 QV 69,142 QV 69,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,false,49200
40,M,450,En Couple,0,false,4551 XR 44,4551 XR 44,Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900
56,M,922,En Couple,1,true,1728 AN 50,1728 AN 50,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
38,M,582,En Couple,3,false,41 VG 71,41 VG 71,Renault,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,false,49200
