immatriculation,marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix
3176 TS 67,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
3721 QS 49,Volvo,S80 T6,272,tr�s longue,5,5,noir,false,50500
9099 UV 26,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,true,16029
3563 LA 55,Peugeot,1007 1.4,75,courte,5,5,blanc,true,9625
6963 AX 34,Audi,A2 1.4,75,courte,5,5,gris,false,18310
5592 HQ 89,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,bleu,false,31790
674 CE 26,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350
1756 PR 31,Mercedes,A200,136,moyenne,5,5,noir,true,18130
6705 GX 50,BMW,120i,150,moyenne,5,5,noir,true,25060
4487 DR 75,Saab,9.3 1.8T,150,longue,5,5,gris,true,27020
7080 NW 34,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970
9626 HF 36,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
2401 PA 98,Volvo,S80 T6,272,tr�s longue,5,5,bleu,true,35350
826 YF 89,Renault,Laguna 2.0T,170,longue,5,5,rouge,false,27300
8216 GR 23,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,bleu,false,31790
8076 YM 23,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
9277 JN 49,BMW,M5,507,tr�s longue,5,5,rouge,true,66360
4231 HC 31,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
2319 IQ 28,Ford,Mondeo 1.8,125,longue,5,5,gris,false,23900
148 RS 75,BMW,M5,507,tr�s longue,5,5,blanc,true,66360
6786 JV 36,Skoda,Superb 2.8 V6,193,tr�s longue,5,5,gris,false,31790
8049 KN 17,Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,false,22350
9610 BR 52,Volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,true,18641
8745 KJ 12,Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,false,12200
